Name,NACA 2412
Chord(mm),300
Radius(mm),0
Thickness(%),150
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
300.000000,0.585000
285.000000,5.130000
270.000000,9.360000
240.000000,16.875000
210.000000,23.310000
180.000000,28.620000
150.000000,32.580000
120.000000,35.100000
90.000000,35.460000
75.000000,34.515000
60.000000,32.670000
45.000000,29.745000
30.000000,25.335000
22.500000,22.320000
15.000000,18.585000
7.500000,13.455000
3.750000,9.675000
0.000000,0.000000
3.750000,-7.425000
7.500000,-10.215000
15.000000,-13.545000
22.500000,-15.570000
30.000000,-16.875000
45.000000,-18.450000
60.000000,-19.035000
75.000000,-18.990000
90.000000,-18.540000
120.000000,-17.100000
150.000000,-15.030000
180.000000,-12.420000
210.000000,-9.630000
240.000000,-6.750000
270.000000,-3.690000
285.000000,-2.160000
300.000000,-0.585000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
3.750000,1.125000
7.500000,1.620000
15.000000,2.520000
22.500000,3.375000
30.000000,4.230000
45.000000,5.647500
60.000000,6.817500
75.000000,7.762500
90.000000,8.460000
120.000000,9.000000
150.000000,8.775000
180.000000,8.100000
210.000000,6.840000
240.000000,5.062500
270.000000,2.835000
285.000000,1.485000
300.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
300.000000,0.000000
